Raw Data,Trim,First /,Second /,Third /,Section,First >,Second <,Section in Chinese,District,District in Chinese
"                                      <a href=""/ershoufang/daning/"">大宁</a>","<a href=""/ershoufang/daning/"">大宁</a>",10,21,28,daning,30,33,大宁,Jingan,静安
"                                      <a href=""/ershoufang/jiangninglu/"">江宁路</a>","<a href=""/ershoufang/jiangninglu/"">江宁路</a>",10,21,33,jiangninglu,35,39,江宁路,Jingan,静安
"                                      <a href=""/ershoufang/jingansi/"">静安寺</a>","<a href=""/ershoufang/jingansi/"">静安寺</a>",10,21,30,jingansi,32,36,静安寺,Jingan,静安
"                                      <a href=""/ershoufang/nanjingxilu/"">南京西路</a>","<a href=""/ershoufang/nanjingxilu/"">南京西路</a>",10,21,33,nanjingxilu,35,40,南京西路,Jingan,静安
"                                      <a href=""/ershoufang/pengpu/"">彭浦</a>","<a href=""/ershoufang/pengpu/"">彭浦</a>",10,21,28,pengpu,30,33,彭浦,Jingan,静安
"                                      <a href=""/ershoufang/xizangbeilu/"">西藏北路</a>","<a href=""/ershoufang/xizangbeilu/"">西藏北路</a>",10,21,33,xizangbeilu,35,40,西藏北路,Jingan,静安
"                                      <a href=""/ershoufang/yangcheng/"">阳城</a>","<a href=""/ershoufang/yangcheng/"">阳城</a>",10,21,31,yangcheng,33,36,阳城,Jingan,静安
"                                      <a href=""/ershoufang/yonghe/"">永和</a>","<a href=""/ershoufang/yonghe/"">永和</a>",10,21,28,yonghe,30,33,永和,Jingan,静安
"                                      <a href=""/ershoufang/zhabeigongyuan/"">闸北公园</a>","<a href=""/ershoufang/zhabeigongyuan/"">闸北公园</a>",10,21,36,zhabeigongyuan,38,43,闸北公园,Jingan,静安
"                                      <a href=""/ershoufang/beiwaitan/"">北外滩</a>","<a href=""/ershoufang/beiwaitan/"">北外滩</a>",10,21,31,beiwaitan,33,37,北外滩,Hongkou,虹口
"                                      <a href=""/ershoufang/jiangwanzhen/"">江湾镇</a>","<a href=""/ershoufang/jiangwanzhen/"">江湾镇</a>",10,21,34,jiangwanzhen,36,40,江湾镇,Hongkou,虹口
"                                      <a href=""/ershoufang/liangcheng/"">凉城</a>","<a href=""/ershoufang/liangcheng/"">凉城</a>",10,21,32,liangcheng,34,37,凉城,Hongkou,虹口
"                                      <a href=""/ershoufang/linpinglu/"">临平路</a>","<a href=""/ershoufang/linpinglu/"">临平路</a>",10,21,31,linpinglu,33,37,临平路,Hongkou,虹口
"                                      <a href=""/ershoufang/luxungongyuan/"">鲁迅公园</a>","<a href=""/ershoufang/luxungongyuan/"">鲁迅公园</a>",10,21,35,luxungongyuan,37,42,鲁迅公园,Hongkou,虹口
"                                      <a href=""/ershoufang/quyang/"">曲阳</a>","<a href=""/ershoufang/quyang/"">曲阳</a>",10,21,28,quyang,30,33,曲阳,Hongkou,虹口
"                                      <a href=""/ershoufang/sichuanbeilu/"">四川北路</a>","<a href=""/ershoufang/sichuanbeilu/"">四川北路</a>",10,21,34,sichuanbeilu,36,41,四川北路,Hongkou,虹口
"                                      <a href=""/ershoufang/baihe/"">白鹤</a>","<a href=""/ershoufang/baihe/"">白鹤</a>",10,21,27,baihe,29,32,白鹤,Qingpu,青浦
"                                      <a href=""/ershoufang/chonggu/"">重固</a>","<a href=""/ershoufang/chonggu/"">重固</a>",10,21,29,chonggu,31,34,重固,Qingpu,青浦
"                                      <a href=""/ershoufang/huaxin/"">华新</a>","<a href=""/ershoufang/huaxin/"">华新</a>",10,21,28,huaxin,30,33,华新,Qingpu,青浦
"                                      <a href=""/ershoufang/jinze/"">金泽</a>","<a href=""/ershoufang/jinze/"">金泽</a>",10,21,27,jinze,29,32,金泽,Qingpu,青浦
"                                      <a href=""/ershoufang/liantang1/"">练塘</a>","<a href=""/ershoufang/liantang1/"">练塘</a>",10,21,31,liantang1,33,36,练塘,Qingpu,青浦
"                                      <a href=""/ershoufang/xianghuaqiao/"">香花桥</a>","<a href=""/ershoufang/xianghuaqiao/"">香花桥</a>",10,21,34,xianghuaqiao,36,40,香花桥,Qingpu,青浦
"                                      <a href=""/ershoufang/xiayang/"">夏阳</a>","<a href=""/ershoufang/xiayang/"">夏阳</a>",10,21,29,xiayang,31,34,夏阳,Qingpu,青浦
"                                      <a href=""/ershoufang/xujing/"">徐泾</a>","<a href=""/ershoufang/xujing/"">徐泾</a>",10,21,28,xujing,30,33,徐泾,Qingpu,青浦
"                                      <a href=""/ershoufang/yingpu/"">盈浦</a>","<a href=""/ershoufang/yingpu/"">盈浦</a>",10,21,28,yingpu,30,33,盈浦,Qingpu,青浦
"                                      <a href=""/ershoufang/zhaoxiang/"">赵巷</a>","<a href=""/ershoufang/zhaoxiang/"">赵巷</a>",10,21,31,zhaoxiang,33,36,赵巷,Qingpu,青浦
"                                      <a href=""/ershoufang/zhujiajiao/"">朱家角</a>","<a href=""/ershoufang/zhujiajiao/"">朱家角</a>",10,21,32,zhujiajiao,34,38,朱家角,Qingpu,青浦
"                                      <a href=""/ershoufang/fengcheng/"">奉城</a>","<a href=""/ershoufang/fengcheng/"">奉城</a>",10,21,31,fengcheng,33,36,奉城,Fengxian,奉贤
"                                      <a href=""/ershoufang/fengxianjinhui/"">奉贤金汇</a>","<a href=""/ershoufang/fengxianjinhui/"">奉贤金汇</a>",10,21,36,fengxianjinhui,38,43,奉贤金汇,Fengxian,奉贤
"                                      <a href=""/ershoufang/haiwan/"">海湾</a>","<a href=""/ershoufang/haiwan/"">海湾</a>",10,21,28,haiwan,30,33,海湾,Fengxian,奉贤
"                                      <a href=""/ershoufang/nanqiao/"">南桥</a>","<a href=""/ershoufang/nanqiao/"">南桥</a>",10,21,29,nanqiao,31,34,南桥,Fengxian,奉贤
"                                      <a href=""/ershoufang/qingcun/"">青村</a>","<a href=""/ershoufang/qingcun/"">青村</a>",10,21,29,qingcun,31,34,青村,Fengxian,奉贤
"                                      <a href=""/ershoufang/situan/"">四团</a>","<a href=""/ershoufang/situan/"">四团</a>",10,21,28,situan,30,33,四团,Fengxian,奉贤
"                                      <a href=""/ershoufang/xidu/"">西渡</a>","<a href=""/ershoufang/xidu/"">西渡</a>",10,21,26,xidu,28,31,西渡,Fengxian,奉贤
"                                      <a href=""/ershoufang/zhelin/"">柘林</a>","<a href=""/ershoufang/zhelin/"">柘林</a>",10,21,28,zhelin,30,33,柘林,Fengxian,奉贤
"                                      <a href=""/ershoufang/zhuanghang/"">庄行</a>","<a href=""/ershoufang/zhuanghang/"">庄行</a>",10,21,32,zhuanghang,34,37,庄行,Fengxian,奉贤
"                                      <a href=""/ershoufang/caojing/"">漕泾</a>","<a href=""/ershoufang/caojing/"">漕泾</a>",10,21,29,caojing,31,34,漕泾,Jingshan,金山
"                                      <a href=""/ershoufang/fengjing/"">枫泾</a>","<a href=""/ershoufang/fengjing/"">枫泾</a>",10,21,30,fengjing,32,35,枫泾,Jingshan,金山
"                                      <a href=""/ershoufang/jinshan1/"">金山</a>","<a href=""/ershoufang/jinshan1/"">金山</a>",10,21,30,jinshan1,32,35,金山,Jingshan,金山
"                                      <a href=""/ershoufang/langxia/"">廊下</a>","<a href=""/ershoufang/langxia/"">廊下</a>",10,21,29,langxia,31,34,廊下,Jingshan,金山
"                                      <a href=""/ershoufang/luxiang/"">吕巷</a>","<a href=""/ershoufang/luxiang/"">吕巷</a>",10,21,29,luxiang,31,34,吕巷,Jingshan,金山
"                                      <a href=""/ershoufang/shanyang/"">山阳</a>","<a href=""/ershoufang/shanyang/"">山阳</a>",10,21,30,shanyang,32,35,山阳,Jingshan,金山
"                                      <a href=""/ershoufang/shihua/"">石化</a>","<a href=""/ershoufang/shihua/"">石化</a>",10,21,28,shihua,30,33,石化,Jingshan,金山
"                                      <a href=""/ershoufang/tinglin/"">亭林</a>","<a href=""/ershoufang/tinglin/"">亭林</a>",10,21,29,tinglin,31,34,亭林,Jingshan,金山
"                                      <a href=""/ershoufang/zhangyan/"">张堰</a>","<a href=""/ershoufang/zhangyan/"">张堰</a>",10,21,30,zhangyan,32,35,张堰,Jingshan,金山
"                                      <a href=""/ershoufang/zhujing/"">朱泾</a>","<a href=""/ershoufang/zhujing/"">朱泾</a>",10,21,29,zhujing,31,34,朱泾,Jingshan,金山
